,ZONGO,TIQUIMANI,BOTIJLACA,CUTICUCHO,SANTA ROSA 1,SANTA ROSA 2,SAINANI ,CHURURAQUI,HARCA,CAHUA,HUAJI
2-Mar,0.51,0.83,2.05,1.64,0.58,0.87,1.00,3.10,1.70,3.34,3.84
9-Mar,0.85,1.34,1.67,1.64,0.60,0.87,1.00,2.45,2.79,4.13,4.51
16-Mar,0.54,0.96,1.48,1.46,0.67,0.87,1.05,2.60,2.73,4.41,6.90
23-Mar,0.62,1.00,1.29,1.05,0.89,0.86,1.05,2.13,2.81,5.65,6.86
30-Mar,0.46,0.59,1.61,1.40,0.62,0.88,1.50,2.41,2.67,5.30,6.58
6-Apr,0.77,1.27,0.86,1.28,0.74,0.90,1.50,1.52,3.49,5.30,6.42
13-Apr,0.46,0.57,1.40,1.41,0.75,0.81,2.20,2.69,3.59,4.50,6.93
20-Apr,0.24,0.19,1.48,1.48,0.83,0.98,2.20,3.26,3.05,5.33,7.08
27-Apr,0.18,0.12,1.26,1.13,1.15,0.98,0.22,2.63,2.81,4.63,6.76
4-May,0.20,0.15,1.18,1.16,1.05,1.01,0.34,2.52,2.05,3.78,6.34
11-May,0.18,0.09,0.83,1.25,0.86,0.99,0.52,2.26,2.72,4.15,5.66
18-May,0.11,0.06,0.67,0.88,0.73,1.01,0.80,1.78,2.57,3.47,4.65
25-May,0.13,0.01,0.48,0.73,0.53,0.92,0.63,1.76,2.17,3.40,3.90
1-Jun,0.11,0.02,0.48,0.50,0.38,0.81,0.62,1.66,1.55,3.00,2.63
8-Jun,0.18,0.04,0.51,0.43,0.34,0.63,0.60,1.52,1.39,1.50,2.41
15-Jun,0.13,0.01,0.49,0.39,0.28,0.00,0.49,1.35,1.73,1.50,2.20
22-Jun,0.12,0.08,0.39,0.42,0.33,0.00,0.45,1.29,1.40,1.50,2.10
29-Jun,0.08,0.01,0.36,0.42,0.25,0.38,0.32,1.33,0.84,1.25,1.61
6-Jul,0.07,0.02,0.44,0.31,0.18,0.51,0.43,1.19,0.59,0.66,1.25
13-Jul,0.16,0.02,0.40,0.22,0.28,0.45,0.38,1.17,0.47,0.63,1.03
20-Jul,0.05,0.06,0.31,0.07,0.33,0.65,0.37,1.08,0.42,0.61,0.88
27-Jul,0.06,0.00,0.33,0.21,0.23,0.62,0.33,1.14,0.39,0.74,1.05
3-Aug,0.08,0.01,0.36,0.22,0.20,0.41,0.29,1.13,0.28,0.59,0.84
10-Aug,0.12,0.01,0.39,0.16,0.23,0.40,0.25,1.13,0.25,0.53,0.73
17-Aug,0.22,0.04,0.44,0.14,0.31,0.51,0.29,1.09,0.24,0.63,0.73
24-Aug,0.32,0.01,0.41,0.15,0.27,0.42,0.23,1.11,0.18,0.54,0.68
31-Aug,0.23,0.01,0.25,0.15,0.10,0.45,0.38,1.15,0.31,0.80,1.43
7-Sep,0.14,0.01,0.24,0.15,0.14,0.54,0.34,1.08,0.27,0.56,0.70
14-Sep,0.21,0.09,0.23,0.96,0.42,0.76,0.39,1.36,0.59,0.74,0.43
21-Sep,0.14,0.09,0.33,0.53,0.23,0.54,0.37,1.12,0.37,0.63,0.45
28-Sep,0.24,0.16,0.76,1.30,0.22,0.78,0.59,2.00,1.50,1.19,0.67
5-Oct,0.25,0.05,0.69,0.79,0.52,0.78,0.39,1.46,0.60,0.69,0.16
12-Oct,0.21,0.06,0.69,0.61,0.22,0.75,0.39,1.20,0.58,1.01,0.76
19-Oct,0.26,0.15,0.60,0.91,0.23,0.83,0.94,1.80,2.12,2.13,2.05
26-Oct,0.37,0.25,0.72,1.40,0.55,0.97,0.45,2.10,2.71,1.71,1.50
2-Nov,0.67,0.41,1.20,1.63,0.39,0.91,0.69,2.97,2.76,2.29,1.26
9-Nov,0.52,0.16,0.81,1.18,0.46,0.91,0.18,2.38,2.48,1.91,1.02
16-Nov,0.53,0.04,0.73,0.62,0.72,0.92,0.18,2.13,1.75,1.60,1.56
23-Nov,0.57,0.50,0.96,1.11,0.70,0.91,0.65,2.47,2.76,2.01,1.63
30-Nov,0.46,0.60,1.30,1.86,0.43,0.93,0.68,2.87,3.00,2.63,0.92
7-Dec,0.31,0.58,1.41,1.60,0.50,0.93,0.68,3.02,2.76,2.60,0.94
14-Dec,0.62,0.15,1.19,0.83,0.98,0.95,0.46,0.60,2.80,2.68,1.18
21-Dec,0.72,1.72,1.24,1.24,0.75,0.63,0.32,2.68,2.92,2.83,1.04
28-Dec,0.46,0.38,1.54,1.43,0.91,0.22,0.50,3.02,2.89,2.60,0.93
4-Jan,0.52,0.55,1.35,1.43,1.09,0.24,0.50,2.78,3.07,2.59,0.88
4-Jan,0.52,0.55,1.35,1.43,1.09,0.24,0.50,2.78,3.07,2.59,0.88
11-Jan,0.63,1.10,1.65,1.23,1.09,0.40,0.34,2.83,2.67,2.89,0.94
18-Jan,1.00,2.12,1.45,1.32,0.54,0.58,0.47,2.98,2.77,2.54,0.80
25-Jan,1.13,1.96,1.66,1.15,0.29,0.59,0.72,2.91,2.93,2.37,1.15
1-Feb,0.88,1.74,1.52,1.13,1.13,0.58,0.72,3.08,2.97,2.63,0.88
8-Feb,0.59,1.14,1.74,1.24,1.08,0.50,0.72,2.79,2.97,2.72,0.91
15-Feb,0.45,0.27,1.52,1.58,1.00,0.20,0.28,2.90,2.85,2.72,0.81
22-Feb,0.38,0.70,1.40,1.59,1.04,0.31,0.29,2.35,3.55,2.30,0.81
29-Feb,0.74,1.27,1.08,0.98,0.87,0.44,0.42,2.57,3.25,2.72,0.90
7-Mar,0.63,0.42,1.48,1.43,0.69,0.43,0.54,2.15,3.46,2.78,0.98
14-Mar,0.85,1.19,0.48,1.47,0.69,0.58,0.95,2.73,2.69,2.78,1.05
21-Mar,0.48,0.63,1.53,1.31,0.58,0.32,0.50,3.28,2.47,2.78,1.50
28-Mar,0.15,0.19,1.50,1.56,1.11,0.15,0.27,2.82,2.79,2.78,1.50
4-Apr,0.39,0.40,1.40,1.66,0.88,0.44,0.17,2.85,2.64,3.05,2.16
11-Apr,0.22,0.30,1.40,1.57,0.96,0.73,0.17,3.17,2.68,2.42,0.80
18-Apr,0.16,0.21,1.10,1.40,0.95,0.96,0.31,2.60,3.20,2.61,0.98
25-Apr,0.18,0.18,0.74,1.19,0.72,0.36,1.05,2.08,2.25,2.95,1.70
2-May,0.20,0.12,0.75,0.86,0.48,1.03,0.64,2.14,2.40,2.55,1.65
9-May,0.21,0.06,0.71,0.78,0.30,1.01,0.88,1.88,2.00,2.45,1.60
16-May,0.12,0.09,0.59,0.67,0.25,0.92,0.85,1.81,1.38,2.45,1.30
23-May,0.14,0.03,0.51,0.58,0.15,0.83,0.80,1.66,1.17,1.31,1.20
30-May,0.15,0.03,0.53,0.54,0.14,0.83,0.67,1.63,0.98,1.17,1.20
6-Jun,0.07,0.04,0.49,0.48,0.11,0.79,0.67,1.56,0.80,1.06,1.04
13-Jun,0.06,0.02,0.48,0.39,0.11,0.57,0.60,1.48,0.74,0.86,0.92
20-Jun,0.06,0.02,0.45,0.36,0.08,0.51,0.63,1.41,0.55,0.84,0.78
27-Jun,0.07,0.02,0.42,0.34,0.10,0.56,0.50,1.21,0.43,0.78,0.93
4-Jul,0.05,0.02,0.40,0.32,0.12,0.56,0.44,1.25,0.51,0.73,1.06
11-Jul,0.09,0.02,0.44,0.30,0.13,0.51,0.40,1.16,0.39,0.62,0.91
18-Jul,0.15,0.01,0.44,0.30,0.13,0.41,0.41,1.06,0.36,0.56,0.76
25-Jul,0.27,0.01,0.39,0.28,0.16,0.36,0.37,1.00,0.36,0.57,0.68
1-Aug,0.19,0.00,0.37,0.27,0.13,0.40,0.34,1.32,0.37,0.56,0.73
8-Aug,0.12,0.00,0.31,0.27,0.05,0.39,0.25,1.05,0.38,0.56,0.80
15-Aug,0.08,0.00,0.43,0.24,0.06,0.38,0.31,0.92,0.30,0.49,0.59
22-Aug,0.08,0.00,0.48,0.27,0.06,0.55,0.31,0.95,0.37,0.69,0.99
29-Aug,0.11,0.00,0.43,0.25,0.05,0.52,0.30,0.91,0.29,0.61,0.82
5-Sep,0.14,0.00,0.42,0.25,0.01,0.53,0.18,0.95,0.23,0.49,0.54
12-Sep,0.17,0.00,0.31,0.13,0.02,0.38,0.24,0.86,0.29,0.46,0.57
19-Sep,0.25,0.00,0.25,0.28,0.02,0.30,0.17,0.98,0.35,0.67,0.76
26-Sep,0.29,0.00,0.26,0.33,0.01,0.41,0.15,1.02,0.34,0.67,0.63
3-Oct,0.32,0.00,0.28,0.40,0.02,0.46,0.14,1.04,0.43,0.62,0.70
10-Oct,0.46,0.00,0.34,0.54,0.10,0.64,0.20,1.12,0.74,0.93,1.25
17-Oct,0.54,0.00,0.28,0.39,0.08,0.66,0.35,1.22,0.90,0.88,1.76
24-Oct,0.42,0.00,0.32,0.26,0.07,0.90,0.55,1.44,1.72,1.42,2.35
31-Oct,0.35,0.00,0.32,0.32,0.08,0.83,0.54,1.49,1.67,1.49,2.25
7-Nov,0.38,0.00,0.35,0.40,0.18,0.37,0.37,1.49,2.15,1.88,2.73
14-Nov,0.69,0.00,0.41,0.64,0.14,0.82,0.54,1.47,2.20,1.68,2.24
21-Nov,0.46,0.11,0.66,1.56,0.48,1.01,0.67,1.67,2.80,2.84,1.19
28-Nov,0.70,0.20,0.54,1.11,0.27,0.96,1.04,1.48,3.11,2.43,1.81
5-Dec,0.66,0.11,0.49,0.97,0.37,0.92,0.85,1.82,3.07,2.51,2.08
12-Dec,0.41,0.12,0.67,0.90,0.33,0.88,0.98,1.81,3.19,2.48,2.05
19-Dec,0.59,0.54,0.72,1.48,0.49,0.95,0.68,2.65,2.66,2.77,1.98
26-Dec,0.76,0.54,1.30,1.95,0.45,0.97,0.41,3.41,2.35,2.76,5.03
2-Jan,0.90,1.60,1.42,1.71,0.42,0.48,1.61,2.92,2.40,2.81,4.43
9-Jan,0.51,1.04,1.44,2.08,0.45,0.02,0.84,3.13,2.21,3.28,0.39
16-Jan,0.41,0.60,1.47,2.31,0.44,0.02,0.66,3.03,2.40,3.52,3.95
23-Jan,0.66,0.99,1.28,2.66,0.47,0.13,0.58,3.14,2.49,3.21,9.97
30-Jan,0.39,0.76,0.85,2.89,0.48,0.22,0.42,3.04,2.40,3.05,11.12
6-Feb,0.50,0.34,1.07,2.11,0.66,0.27,0.87,2.84,2.76,3.16,9.09
13-Feb,0.92,1.27,1.04,2.31,0.58,0.23,0.72,2.43,2.55,3.12,10.82
20-Feb,0.47,0.80,1.61,2.23,0.44,0.09,0.57,2.52,2.58,3.22,12.22
27-Feb,0.84,1.52,1.80,1.73,0.42,0.18,0.48,2.49,2.75,3.10,11.55
6-Mar,0.70,1.40,1.15,1.57,0.46,0.17,0.55,3.15,2.02,3.21,11.66
13-Mar,0.59,0.76,1.32,1.71,0.43,0.09,0.56,3.04,2.14,3.09,11.01
20-Mar,0.39,0.53,1.71,1.85,0.47,0.07,0.52,2.53,2.68,3.40,10.49
27-Mar,0.51,1.53,1.54,1.74,0.42,0.07,0.61,2.38,3.22,3.20,12.16
3-Apr,0.35,0.39,1.46,1.82,0.53,0.05,0.54,2.66,2.49,3.14,10.79
10-Apr,0.24,0.31,1.41,1.73,0.71,0.04,0.59,2.32,3.10,3.26,7.68
17-Apr,0.56,0.59,1.24,1.81,0.41,0.04,0.61,2.25,2.98,3.05,9.58
24-Apr,0.17,0.17,1.46,1.79,0.61,0.08,0.78,2.32,3.02,2.91,4.52
1-May,0.11,0.10,0.95,1.28,0.61,0.32,1.08,1.97,3.42,1.76,2.77
8-May,0.11,0.05,0.74,0.99,0.39,0.34,1.07,1.67,2.89,1.50,2.40
15-May,0.13,0.03,0.65,0.78,0.24,0.33,0.96,1.60,2.40,1.74,2.11
22-May,0.15,0.01,0.59,0.64,0.20,0.34,0.81,1.42,1.97,1.36,1.77
29-May,0.13,0.00,0.53,0.58,0.18,0.33,0.79,1.43,1.99,1.56,2.36
5-Jun,0.07,0.00,0.46,0.51,0.11,0.32,0.83,1.41,1.53,1.40,2.09
12-Jun,0.10,0.00,0.43,0.43,0.09,0.33,0.66,1.31,1.13,1.21,1.41
19-Jun,0.08,0.00,0.37,0.38,0.07,0.34,0.61,1.35,0.79,1.05,1.19
26-Jun,0.09,0.00,0.36,0.33,0.04,0.34,0.56,1.35,0.59,0.89,1.07
3-Jul,0.11,0.00,0.29,0.30,0.03,0.10,0.50,1.33,0.70,0.86,0.84
10-Jul,0.10,0.00,0.33,0.29,0.03,0.41,0.50,1.13,0.45,0.83,0.66
17-Jul,0.13,0.00,0.34,0.26,0.03,0.41,0.48,1.05,0.50,0.86,0.91
24-Jul,0.10,0.00,0.39,0.24,0.09,0.45,0.47,1.11,0.39,0.82,0.56
31-Jul,0.08,0.00,0.51,0.24,0.08,0.43,0.47,1.15,0.49,0.86,0.86
7-Aug,0.09,0.00,0.54,0.31,0.03,0.47,0.46,1.02,0.47,0.90,1.01
14-Aug,0.02,0.00,0.50,0.30,0.08,0.41,0.42,1.01,0.36,0.79,1.01
21-Aug,0.04,0.00,0.41,0.22,0.07,0.39,0.39,0.92,0.28,0.68,0.60
28-Aug,0.13,0.00,0.29,0.23,0.01,0.39,0.37,0.86,0.26,0.62,0.56
4-Sep,0.23,0.00,0.27,0.23,0.01,0.39,0.35,0.86,0.29,0.58,0.46
11-Sep,0.25,0.00,0.33,0.24,0.02,0.40,0.35,0.90,0.39,0.72,0.87
18-Sep,0.24,0.00,0.35,0.24,0.01,0.46,0.32,0.83,0.44,0.68,0.61
25-Sep,0.24,0.00,0.33,0.27,0.02,0.42,0.33,0.92,0.33,0.67,0.72
2-Oct,0.30,0.00,0.38,0.61,0.02,0.61,0.44,1.19,0.78,0.87,1.54
9-Oct,0.31,0.00,0.41,0.31,0.01,0.55,0.53,1.00,0.62,0.76,1.06
16-Oct,0.44,0.01,0.43,0.37,0.01,0.57,0.41,0.86,0.46,0.72,1.28
23-Oct,0.54,0.00,0.35,0.57,0.04,0.64,0.53,1.23,0.61,1.11,1.76
30-Oct,0.41,0.12,0.35,0.48,0.16,0.75,0.49,1.21,0.64,1.30,1.43
6-Nov,0.77,0.04,0.44,0.51,0.18,0.86,0.30,0.98,0.56,1.11,1.37
13-Nov,0.66,0.03,0.41,0.65,0.27,0.90,0.27,2.50,1.99,1.90,2.65
20-Nov,0.58,0.44,0.78,1.56,0.62,0.98,1.95,2.54,2.73,2.79,2.16
27-Nov,0.62,0.25,0.83,1.15,0.65,0.98,0.74,2.06,2.90,2.58,4.57
4-Dec,0.74,0.49,1.24,1.54,0.61,1.01,0.79,2.55,2.82,2.61,6.44
11-Dec,0.54,0.58,1.15,1.72,0.67,1.00,0.76,2.73,2.92,2.69,5.90
18-Dec,0.77,0.10,1.01,1.51,0.76,1.00,0.74,2.47,2.91,2.71,4.65
25-Dec,0.84,0.82,1.34,1.65,0.58,1.00,0.76,2.57,2.73,3.25,6.33
1-Jan,0.64,0.98,1.47,1.69,0.61,1.00,0.78,2.64,2.65,3.37,6.46
8-Jan,0.65,0.92,1.47,1.82,0.68,1.01,0.79,2.69,2.66,3.34,6.61
15-Jan,0.65,0.94,1.54,1.95,0.73,1.04,0.80,2.68,2.67,3.25,6.57
22-Jan,0.85,1.09,1.97,1.67,0.74,1.03,0.81,2.73,2.62,3.44,8.22
29-Jan,0.78,1.04,1.96,1.66,0.69,1.01,0.81,2.65,2.70,3.39,9.58
5-Feb,0.78,1.35,1.87,1.52,0.82,0.75,0.80,2.65,2.61,3.26,8.97
12-Feb,0.69,0.59,1.92,1.87,0.81,0.75,1.08,2.80,2.52,3.38,9.80
19-Feb,0.61,0.35,1.54,2.22,0.83,0.80,1.45,2.78,2.51,3.13,9.16
26-Feb,0.77,0.75,1.03,2.46,0.75,0.78,1.65,2.82,2.39,3.34,11.44
5-Mar,1.04,1.33,1.25,1.54,0.96,0.78,1.67,2.72,2.38,3.43,12.62
12-Mar,0.50,0.43,1.62,1.85,0.88,0.77,0.94,2.74,2.28,3.44,8.50
19-Mar,0.50,0.27,1.43,1.91,0.87,0.79,0.56,2.71,2.58,3.40,3.00
26-Mar,0.41,0.15,1.16,1.45,0.91,0.90,0.55,2.76,2.38,2.92,2.16
2-Apr,0.45,0.28,1.21,1.52,0.91,1.02,0.78,2.46,2.60,2.81,2.62
9-Apr,0.29,0.19,1.20,1.31,1.03,1.00,0.63,2.58,2.56,2.57,2.11
16-Apr,0.26,0.08,0.86,0.96,0.68,1.01,0.55,2.10,2.20,1.54,3.08
23-Apr,0.34,0.04,0.73,0.79,0.41,1.03,0.67,1.89,1.60,1.89,2.39
30-Apr,0.42,0.02,0.77,0.75,0.39,1.05,0.69,1.87,1.79,2.32,3.10
7-May,0.25,0.04,0.73,0.86,0.38,1.01,0.64,2.02,1.56,2.30,2.92
14-May,0.27,0.01,0.58,0.57,0.17,0.94,0.62,1.68,1.60,2.16,2.66
21-May,0.20,0.01,0.52,0.47,0.12,0.78,0.58,1.56,1.23,1.62,2.22
28-May,0.18,0.02,0.49,0.56,0.19,0.74,0.51,1.65,1.44,1.81,2.12
4-Jun,0.16,0.01,0.49,0.60,0.17,0.85,0.56,1.66,1.59,1.76,2.00
11-Jun,0.16,0.02,0.51,0.46,0.10,0.76,0.45,1.50,1.28,1.67,1.62
18-Jun,0.23,0.00,0.49,0.39,0.10,0.63,0.38,1.36,1.02,1.27,1.22
25-Jun,0.21,0.00,0.50,0.34,0.12,0.70,0.33,1.28,0.83,1.13,1.17
2-Jul,0.17,0.00,0.48,0.43,0.14,0.64,0.35,1.74,0.98,1.35,1.86
9-Jul,0.13,0.00,0.49,0.33,0.13,0.57,0.29,1.53,0.60,0.97,1.25
16-Jul,0.11,0.00,0.43,0.29,0.02,0.47,0.26,1.46,0.61,1.05,1.80
23-Jul,0.07,0.00,0.54,0.25,0.14,0.31,0.21,1.43,0.61,0.85,1.15
30-Jul,0.14,0.00,0.50,0.29,0.09,0.44,0.24,1.30,0.57,0.77,0.90
6-Aug,0.21,0.00,0.47,0.29,0.05,0.46,0.27,1.25,0.56,0.85,1.46
13-Aug,0.18,0.00,0.51,0.30,0.05,0.42,0.28,1.16,0.45,0.74,0.78
20-Aug,0.14,0.00,0.49,0.25,0.09,0.49,0.25,1.12,0.43,0.72,0.60
27-Aug,0.25,0.00,0.52,0.24,0.14,0.51,0.21,1.04,0.36,0.72,0.44
3-Sep,0.44,0.03,0.60,0.78,0.36,0.67,0.23,1.72,1.03,1.43,1.02
10-Sep,0.18,0.03,0.81,1.37,0.69,0.93,0.25,2.27,1.46,1.91,1.51
17-Sep,0.18,0.03,0.54,0.74,0.28,0.79,0.36,1.33,0.80,0.90,0.89
24-Sep,0.26,0.03,0.49,0.56,0.25,0.69,0.20,1.29,0.57,0.80,0.77
1-Oct,0.46,0.00,0.45,0.49,0.07,0.68,0.24,1.19,0.66,0.66,0.69
8-Oct,0.40,0.00,0.38,0.41,0.09,0.66,0.28,1.33,0.93,0.99,1.14
15-Oct,0.25,0.04,0.50,0.82,0.46,0.97,0.67,1.61,1.49,1.52,1.16
22-Oct,0.26,0.14,0.59,1.23,0.60,1.15,0.59,2.07,1.86,1.80,0.91
29-Oct,0.33,0.03,0.56,0.85,0.41,0.95,0.40,1.71,1.13,1.42,1.01
5-Nov,0.38,0.01,0.57,0.80,0.31,0.89,0.51,1.79,1.44,1.30,1.45
12-Nov,0.64,0.06,0.46,0.56,0.20,0.76,0.44,1.57,1.42,1.41,1.42
19-Nov,0.79,0.06,0.46,0.48,0.20,0.79,0.42,1.60,1.73,1.22,1.49
26-Nov,0.67,0.00,0.44,0.54,0.31,0.85,0.35,1.76,1.56,1.81,1.96
3-Dec,0.81,0.06,0.47,0.54,0.35,1.08,0.45,1.65,1.71,1.87,1.96
10-Dec,0.65,0.05,0.58,0.88,0.63,1.16,0.56,2.05,1.47,2.24,2.24
17-Dec,0.60,0.11,0.62,0.96,0.52,1.27,0.83,1.95,2.44,2.52,3.28
24-Dec,0.71,0.31,0.97,1.34,0.78,1.14,0.57,2.49,2.19,2.69,9.77
31-Dec,0.85,1.27,1.57,1.67,0.81,0.98,0.64,3.07,2.35,3.32,12.48
7-Jan,0.51,1.18,1.60,1.95,1.04,1.00,0.67,2.97,2.38,3.55,12.10
14-Jan,0.61,1.00,1.50,1.75,0.98,0.98,0.54,2.76,2.36,3.81,11.35
21-Jan,0.50,0.48,1.41,1.99,1.02,1.00,0.46,2.77,2.01,3.57,10.27
28-Jan,1.10,1.64,1.44,1.56,0.80,1.02,1.03,2.42,3.04,4.01,12.04
4-Feb,0.94,1.32,1.65,1.50,0.87,1.03,1.21,2.35,3.10,4.75,14.57
11-Feb,1.12,1.86,1.61,1.49,0.90,1.02,1.39,2.68,2.72,4.50,14.62
18-Feb,0.87,2.19,1.72,1.43,0.99,0.99,1.44,2.69,2.60,4.62,14.25
25-Feb,0.95,2.00,1.66,1.46,0.82,0.95,2.02,2.59,2.65,3.20,14.40
4-Mar,0.97,1.76,1.65,1.46,0.99,0.95,1.41,2.16,3.31,3.44,14.54
11-Mar,0.83,1.34,1.65,1.47,0.93,0.98,1.30,2.29,3.03,3.48,14.14
18-Mar,0.59,0.64,1.57,1.56,0.86,0.96,1.22,2.58,2.72,3.47,14.09
25-Mar,0.65,1.03,1.29,1.64,0.83,0.98,1.36,2.62,2.69,3.44,14.18
1-Apr,0.45,0.63,1.38,1.63,0.81,0.97,1.18,2.86,2.47,3.34,13.67
8-Apr,0.47,0.76,1.41,1.64,0.84,1.00,1.17,2.90,2.46,3.38,13.49
15-Apr,0.42,0.71,1.27,1.59,0.86,0.99,1.32,2.97,2.39,3.37,11.81
22-Apr,0.32,0.29,1.47,1.65,1.05,1.03,0.57,3.07,2.35,3.36,6.46
29-Apr,0.31,0.21,1.21,1.49,1.11,1.02,0.45,2.69,2.52,2.98,6.68
6-May,0.25,0.13,1.09,1.27,0.93,1.02,0.16,2.43,2.50,2.62,7.32
13-May,0.20,0.09,0.87,0.98,0.66,1.02,0.17,1.95,2.28,1.93,2.50
20-May,0.17,0.08,0.76,0.81,0.52,1.03,0.15,1.90,1.55,1.65,3.10
27-May,0.21,0.00,0.75,0.70,0.42,1.01,0.16,1.74,1.27,1.68,1.48
3-Jun,0.15,0.01,0.62,0.60,0.27,0.83,0.38,1.54,1.10,1.40,2.28
10-Jun,0.09,0.00,0.48,0.51,0.15,0.68,0.53,1.33,1.01,1.15,1.70
17-Jun,0.06,0.00,0.48,0.41,0.26,0.62,0.43,1.29,0.88,1.04,2.15
24-Jun,0.12,0.00,0.42,0.41,0.10,0.55,0.48,1.12,0.76,1.06,4.62
1-Jul,0.02,0.00,0.41,0.36,0.09,0.50,0.42,1.10,0.72,0.91,3.53
8-Jul,0.05,0.00,0.37,0.42,0.14,0.55,0.41,1.27,1.25,1.09,5.20
15-Jul,0.07,0.00,0.34,0.32,0.08,0.44,0.34,1.04,0.75,0.83,3.46
22-Jul,0.08,0.00,0.34,0.36,0.06,0.47,0.36,1.06,0.84,0.95,5.06
