,ZONGO,TIQUIMANI,BOTIJLACA,CUTICUCHO,SANTA ROSA 1,SANTA ROSA 2,SAINANI ,CHURURAQUI,HARCA,CAHUA,HUAJI
29-Jul,0.04,0.00,0.31,0.31,0.07,0.42,0.39,1.18,1.11,1.05,4.43
5-Aug,0.05,0.00,0.28,0.28,0.05,0.33,0.34,0.95,0.72,0.70,3.64
12-Aug,0.05,0.00,0.19,0.29,0.06,0.35,0.25,0.99,0.45,0.64,3.40
19-Aug,0.08,0.00,0.26,0.26,0.11,0.31,0.27,0.89,0.51,0.53,3.21
26-Aug,0.17,0.00,0.32,0.27,0.05,0.47,0.26,0.92,0.57,0.56,3.14
2-Sep,0.22,0.00,0.37,0.31,0.06,0.40,0.22,0.94,0.46,0.63,3.43
9-Sep,0.24,0.00,0.39,0.35,0.12,0.42,0.18,0.87,0.45,0.52,3.21
16-Sep,0.20,0.00,0.35,0.31,0.16,0.40,0.15,0.87,0.43,0.50,3.23
23-Sep,0.21,0.00,0.43,0.79,0.40,0.75,0.22,1.33,1.15,0.50,4.69
30-Sep,0.33,0.12,0.65,1.39,0.79,0.93,0.18,2.04,1.29,0.49,5.60
7-Oct,0.16,0.01,0.57,0.83,0.43,0.93,0.23,1.24,0.74,0.41,3.76
14-Oct,0.31,0.46,0.83,1.45,0.78,0.98,0.18,1.86,2.26,0.44,7.46
21-Oct,0.28,0.13,0.62,1.14,0.75,0.99,0.41,1.92,2.37,0.46,14.75
28-Oct,0.42,0.01,0.51,0.80,0.32,0.98,0.42,1.56,1.17,0.42,7.40
4-Nov,0.47,0.22,0.70,1.00,0.56,1.04,0.31,2.03,1.47,0.42,7.61
11-Nov,0.42,0.04,0.62,1.28,0.77,1.05,0.22,2.22,1.71,0.32,7.95
18-Nov,0.51,0.00,0.52,0.82,0.42,1.05,0.17,1.58,1.35,0.38,6.67
25-Nov,0.47,0.09,0.90,1.63,0.82,1.06,0.19,2.10,2.37,0.34,8.78
2-Dec,0.68,0.12,0.73,1.08,0.62,1.04,0.15,1.78,2.28,0.27,7.79
9-Dec,0.61,0.02,0.55,0.82,0.46,1.06,0.32,1.74,1.73,0.22,7.25
16-Dec,0.51,0.31,1.04,1.40,0.81,1.05,0.50,2.64,2.26,0.22,10.34
23-Dec,0.60,0.57,1.41,1.88,0.86,1.09,0.36,2.83,2.39,0.24,10.50
30-Dec,0.73,2.05,1.56,2.75,0.94,1.37,0.78,3.09,2.33,0.34,11.94
6-Jan,0.79,1.24,1.60,3.01,0.76,1.23,0.97,3.24,2.01,0.40,12.50
13-Jan,0.66,0.55,1.83,3.91,0.90,1.05,1.20,3.31,1.96,0.38,14.50
20-Jan,0.48,0.42,1.51,2.08,1.09,1.05,0.89,3.17,2.37,0.39,12.64
27-Jan,0.69,1.06,1.64,4.18,1.03,1.05,0.86,3.14,2.17,0.58,16.78
3-Feb,0.74,1.68,1.89,5.99,0.92,1.05,1.03,3.12,2.35,0.96,13.81
10-Feb,0.97,1.42,1.78,7.52,0.90,1.02,1.12,3.13,2.17,1.13,15.00
17-Feb,1.08,1.99,2.35,17.90,0.83,1.06,1.09,3.05,2.06,2.75,19.63
24-Feb,0.61,1.90,1.89,18.13,0.95,1.02,1.16,3.24,2.24,3.93,20.75
2-Mar,0.65,1.02,1.50,6.39,0.76,1.07,1.33,3.23,2.24,3.92,19.06
9-Mar,0.65,1.35,1.14,11.88,0.76,1.06,1.72,3.20,2.21,3.88,20.57
16-Mar,0.42,0.62,1.66,6.40,0.64,1.00,1.17,3.05,2.55,3.82,19.86
23-Mar,0.49,0.43,1.71,3.55,0.96,1.05,0.66,3.04,2.36,3.70,17.67
30-Mar,0.41,0.38,1.59,2.23,1.02,1.03,0.50,3.07,1.64,3.64,15.46
6-Apr,0.25,0.41,1.47,2.55,0.97,1.05,0.34,2.87,1.80,3.51,19.07
13-Apr,0.46,0.56,1.27,2.36,0.96,1.31,0.25,2.92,1.75,3.59,12.05
20-Apr,0.39,0.58,1.50,3.14,0.90,1.19,0.39,2.92,2.20,2.97,15.85
27-Apr,0.19,0.27,1.42,2.18,0.88,1.26,0.36,3.14,2.33,2.84,9.89
4-May,0.17,0.15,1.03,1.54,0.77,1.06,0.33,2.60,2.48,2.09,8.11
11-May,0.19,0.07,0.88,1.11,0.64,1.05,0.43,2.17,2.09,1.71,8.39
18-May,0.15,0.03,0.77,0.85,0.53,0.98,0.30,1.85,1.71,1.96,6.88
25-May,0.09,0.03,0.63,0.75,0.32,0.95,0.68,1.71,1.48,1.79,5.32
1-Jun,0.09,0.02,0.60,0.58,0.27,0.82,0.63,1.63,1.15,1.38,4.61
8-Jun,0.09,0.02,0.44,0.53,0.25,0.85,0.56,1.47,1.08,1.16,4.23
15-Jun,0.05,0.01,0.45,0.55,0.21,0.60,0.53,1.34,0.93,1.05,3.71
22-Jun,0.04,0.00,0.43,0.44,0.18,0.48,0.40,1.26,1.07,0.91,3.73
29-Jun,0.05,0.00,0.39,0.39,0.16,0.50,0.42,1.19,0.77,1.00,3.47
6-Jul,0.04,0.00,0.39,0.32,0.13,0.48,0.44,1.09,0.71,0.80,3.40
13-Jul,0.09,0.00,0.37,0.30,0.13,0.42,0.40,1.14,0.75,0.93,3.73
20-Jul,0.02,0.00,0.39,0.26,0.11,0.42,0.44,1.09,0.63,0.89,3.74
27-Jul,0.04,0.00,0.39,0.25,0.09,0.37,0.41,0.96,0.45,0.69,3.04
3-Aug,0.07,0.00,0.36,0.29,0.08,0.39,0.39,0.75,0.60,0.93,4.01
10-Aug,0.07,0.00,0.41,0.25,0.08,0.34,0.33,0.99,0.48,0.71,3.03
17-Aug,0.08,0.00,0.32,0.33,0.05,0.39,0.33,0.96,0.36,0.66,2.82
24-Aug,0.10,0.00,0.34,0.28,0.08,0.30,0.32,1.05,0.36,0.70,2.94
31-Aug,0.13,0.00,0.33,0.40,0.15,0.51,0.47,1.26,0.97,1.18,4.82
7-Sep,0.16,0.00,0.36,0.20,0.08,0.35,0.33,0.89,0.38,0.64,2.79
14-Sep,0.23,0.00,0.41,0.26,0.07,0.49,0.36,1.04,0.42,0.69,3.36
21-Sep,0.22,0.00,0.40,0.26,0.03,0.47,0.37,0.90,0.44,0.62,2.78
28-Sep,0.25,0.00,0.44,0.33,0.11,0.61,0.51,1.39,0.80,1.15,4.55
5-Oct,0.21,0.00,0.33,0.27,0.04,0.49,0.37,1.07,0.56,0.76,3.54
12-Oct,0.25,0.02,0.38,0.61,0.31,0.77,0.59,1.52,1.34,1.76,3.66
19-Oct,0.27,0.01,0.42,0.42,0.16,0.87,0.56,1.37,1.01,1.34,4.53
26-Oct,0.51,0.00,0.36,0.36,0.17,0.84,0.51,1.30,0.81,1.53,5.27
2-Nov,0.50,0.00,0.38,0.44,0.29,0.87,0.64,1.59,1.12,1.82,6.14
9-Nov,0.34,0.04,0.67,0.69,0.39,0.89,0.64,1.31,1.59,1.87,5.80
16-Nov,0.50,0.01,0.57,0.66,0.32,0.77,0.83,1.48,1.30,1.91,5.94
23-Nov,0.53,0.16,1.07,1.43,1.01,0.97,1.01,2.35,2.56,2.53,4.50
30-Nov,0.51,0.13,0.81,0.97,0.65,0.97,0.53,2.00,2.00,2.23,6.78
7-Dec,0.80,0.64,1.36,1.56,0.85,1.03,0.82,3.14,2.44,2.82,5.17
14-Dec,0.60,0.74,1.38,1.56,0.86,0.99,0.62,3.13,2.23,2.78,5.69
21-Dec,0.73,1.09,1.61,1.54,0.85,0.97,1.29,3.15,2.42,2.89,4.26
28-Dec,0.70,1.83,1.62,1.49,0.89,1.33,1.27,3.26,2.12,3.12,4.19
4-Jan,0.60,1.35,1.59,1.52,0.89,1.16,1.22,3.31,2.18,3.09,5.00
11-Jan,0.74,0.97,1.93,1.64,0.94,0.95,1.25,3.37,2.21,3.07,4.99
18-Jan,0.56,0.98,1.89,3.71,0.91,0.97,1.31,3.27,2.31,2.95,4.25
25-Jan,0.59,0.98,1.71,1.75,0.83,0.95,1.33,3.33,2.36,3.02,4.45
1-Feb,0.39,0.74,1.70,1.53,0.88,0.98,1.18,3.28,2.34,2.84,9.54
8-Feb,0.82,1.38,1.82,1.46,0.91,1.01,1.26,3.43,2.13,2.87,14.80
15-Feb,0.67,0.91,2.18,1.58,0.88,0.97,1.22,3.47,2.18,2.82,14.87
22-Feb,0.73,1.04,1.85,1.54,0.86,0.96,1.20,2.88,2.19,2.88,14.72
1-Mar,0.53,0.82,1.90,1.53,0.92,0.99,0.91,3.45,2.22,2.84,14.79
8-Mar,0.41,0.31,1.53,1.86,0.89,0.97,0.89,3.51,2.12,2.88,14.67
15-Mar,0.46,0.28,1.46,1.87,1.12,1.02,0.67,3.45,2.25,2.80,13.61
22-Mar,0.50,0.52,1.53,1.83,1.11,1.00,0.65,3.37,2.28,2.77,14.39
29-Mar,0.48,0.28,1.35,1.94,1.20,1.01,0.52,3.14,2.30,2.80,15.95
5-Apr,0.24,0.22,1.20,1.74,1.06,1.01,0.41,3.25,2.31,2.80,9.76
12-Apr,0.19,0.10,0.92,1.11,1.15,1.01,0.37,3.04,2.30,2.79,9.00
19-Apr,0.22,0.04,0.70,0.84,0.81,0.99,0.44,2.35,2.28,2.40,3.73
26-Apr,0.07,0.01,0.61,0.77,0.45,0.98,0.50,2.02,2.00,1.95,2.28
3-May,0.17,0.00,0.57,0.64,0.34,1.02,0.50,1.94,1.41,1.85,1.84
10-May,0.17,0.01,0.53,0.57,0.33,0.97,0.46,1.99,1.31,1.68,1.99
17-May,0.20,0.07,0.64,0.71,0.24,0.89,0.68,1.99,1.22,1.61,3.80
24-May,0.33,0.32,1.17,1.54,0.59,0.88,0.37,2.77,2.45,2.23,5.62
31-May,0.10,0.07,0.66,0.90,0.40,0.88,0.70,1.85,1.93,1.71,2.45
7-Jun,0.04,0.02,0.51,0.58,0.27,0.74,0.56,1.56,1.46,1.51,1.80
14-Jun,0.11,0.03,0.55,0.55,0.42,0.83,0.64,1.68,1.40,1.51,2.07
21-Jun,0.08,0.01,0.51,0.62,0.53,0.90,0.57,1.79,1.28,1.36,2.64
28-Jun,0.06,0.01,0.48,0.63,0.41,0.78,0.54,1.66,1.13,1.47,2.47
5-Jul,0.06,0.01,0.43,0.53,0.25,0.66,0.47,1.41,0.90,1.21,2.39
12-Jul,0.04,0.01,0.42,0.39,0.29,0.52,0.41,1.41,0.99,1.13,1.55
19-Jul,0.03,0.00,0.40,0.32,0.24,0.50,0.39,1.18,0.85,0.95,1.13
26-Jul,0.02,0.03,0.41,0.36,0.19,0.46,0.36,1.18,0.75,0.87,1.00
2-Aug,0.00,0.00,0.25,0.45,0.12,0.44,0.38,1.03,0.63,0.82,0.83
9-Aug,0.00,0.00,0.33,0.31,0.11,0.46,0.40,0.99,0.62,0.77,0.76
16-Aug,0.01,0.00,0.58,0.23,0.20,0.37,0.31,0.97,0.52,0.74,1.19
23-Aug,0.09,0.00,0.56,0.19,0.21,0.41,0.27,1.00,0.44,0.58,0.80
30-Aug,0.27,0.00,0.54,0.40,0.34,0.60,0.35,1.31,0.85,1.13,1.98
6-Sep,0.11,0.00,0.44,0.25,0.19,0.40,0.32,0.96,0.48,0.71,0.70
13-Sep,0.13,0.00,0.39,0.20,0.22,0.38,0.27,0.99,0.43,0.72,0.86
20-Sep,0.17,0.00,0.39,0.22,0.28,0.54,0.26,1.31,0.60,1.00,2.44
27-Sep,0.20,0.00,0.47,0.35,0.34,0.65,0.39,1.42,1.26,1.20,2.04
4-Oct,0.22,0.00,0.47,0.31,0.27,0.57,0.33,1.27,0.66,1.04,1.79
11-Oct,0.21,0.00,0.50,0.84,0.65,0.78,0.57,2.16,2.33,2.00,4.47
18-Oct,0.27,0.09,0.67,1.07,0.75,0.93,0.71,2.34,2.53,1.96,5.10
25-Oct,0.30,0.03,0.57,0.86,0.56,1.03,0.61,2.05,2.37,1.61,5.41
1-Nov,0.59,0.22,1.36,1.44,0.93,0.98,1.16,2.76,2.53,2.53,3.68
8-Nov,0.46,0.38,1.18,1.47,1.21,1.09,0.86,3.22,2.17,2.88,6.57
15-Nov,0.52,0.28,0.76,1.22,0.85,1.07,0.38,2.81,2.40,2.45,3.55
22-Nov,0.51,0.32,0.81,1.05,0.75,1.05,0.67,2.68,2.33,2.51,3.07
29-Nov,0.47,0.40,0.93,1.05,0.83,0.99,0.67,2.89,2.30,2.64,3.76
6-Dec,0.70,0.17,0.70,0.93,0.68,1.04,0.71,2.24,2.39,2.49,3.15
13-Dec,0.59,0.42,1.02,1.03,0.85,1.05,1.11,2.89,2.19,2.81,6.92
20-Dec,0.78,1.16,1.34,1.23,0.84,1.05,1.18,3.48,1.97,3.01,10.34
27-Dec,0.59,0.90,1.63,1.55,1.04,1.10,1.19,3.50,1.90,2.83,12.40
3-Jan,0.69,0.85,1.70,1.88,1.38,1.25,0.90,3.49,1.93,2.84,11.96
10-Jan,0.70,1.61,1.98,2.26,1.67,1.34,0.63,3.56,1.85,2.94,17.43
17-Jan,0.48,0.70,1.64,2.13,1.65,1.06,0.62,3.50,1.94,2.70,17.29
24-Jan,0.73,0.99,1.83,2.16,1.58,1.07,0.79,3.56,1.86,2.97,16.48
31-Jan,1.04,1.78,1.42,2.03,1.83,1.10,1.01,3.50,1.89,2.92,16.43
7-Feb,0.76,1.37,1.28,1.91,1.29,1.12,1.07,3.30,1.91,2.98,16.50
14-Feb,0.73,0.91,1.25,2.02,1.17,1.13,1.09,3.28,2.13,2.91,17.60
21-Feb,0.50,0.74,1.66,2.07,1.36,1.13,1.45,3.25,2.17,2.97,17.37
28-Feb,0.45,0.29,1.57,1.39,0.82,1.10,1.80,3.02,2.34,2.93,13.36
7-Mar,0.37,0.10,1.13,1.39,1.14,1.20,1.47,3.42,2.83,3.53,8.64
14-Mar,0.51,0.12,1.14,1.53,1.09,1.10,0.72,2.72,3.04,4.64,11.70
21-Mar,0.53,0.26,1.27,1.57,1.20,1.10,0.18,0.81,3.84,5.44,12.60
28-Mar,0.37,0.35,1.39,1.89,1.06,1.12,0.00,2.26,1.82,3.79,9.50
4-Apr,0.24,0.24,1.05,1.92,1.06,1.11,0.00,2.37,1.50,3.61,6.00
11-Apr,0.25,0.14,0.81,1.63,0.93,1.03,0.00,2.55,2.01,2.94,3.54
18-Apr,0.18,0.09,0.58,1.41,0.80,1.02,0.00,2.58,2.71,1.64,5.90
25-Apr,0.20,0.05,0.50,1.26,0.73,1.03,0.00,2.65,2.77,1.38,5.22
2-May,0.15,0.02,0.44,1.07,0.58,1.05,0.00,2.46,2.44,1.27,4.97
9-May,0.17,0.01,0.40,0.87,0.42,1.00,0.00,2.21,2.02,1.64,3.22
16-May,0.10,0.04,0.40,0.76,0.36,0.93,0.00,2.34,1.92,1.44,3.53
23-May,0.06,0.02,0.40,0.71,0.15,0.88,0.00,2.18,1.88,1.80,2.52
30-May,0.06,0.00,0.34,0.62,0.19,0.75,0.00,2.02,1.47,1.61,1.99
6-Jun,0.09,0.00,0.33,0.48,0.25,0.68,0.00,1.75,1.52,1.26,1.41
13-Jun,0.13,0.00,0.32,0.47,0.23,0.67,0.00,1.84,1.86,1.62,2.31
20-Jun,0.09,0.00,0.32,0.48,0.13,0.57,0.00,1.59,1.34,1.22,1.64
27-Jun,0.08,0.00,0.32,0.44,0.08,0.49,0.00,1.43,1.13,1.06,1.28
4-Jul,0.09,0.00,0.33,0.40,0.07,0.47,0.00,1.36,1.06,1.00,1.30
11-Jul,0.14,0.00,0.24,0.44,0.08,0.45,0.00,1.34,1.03,1.17,1.76
18-Jul,0.11,0.00,0.32,0.36,0.09,0.41,0.00,1.27,0.96,0.89,1.08
25-Jul,0.03,0.00,0.31,0.31,0.07,0.35,0.00,1.23,0.99,0.87,1.13
1-Aug,0.00,0.00,0.28,0.27,0.03,0.31,0.00,1.21,0.81,0.74,0.81
8-Aug,0.06,0.00,0.39,0.18,0.07,0.21,0.00,1.14,0.88,0.90,1.41
15-Aug,0.11,0.00,0.29,0.18,0.16,0.23,0.00,1.31,1.16,0.99,1.05
22-Aug,0.06,0.00,0.26,0.23,0.27,0.23,0.00,1.21,1.06,0.86,0.63
29-Aug,0.06,0.00,0.37,0.66,0.21,0.25,0.00,1.10,0.84,0.73,0.71
5-Sep,0.16,0.02,0.42,0.82,0.28,0.65,0.00,1.34,1.01,0.84,0.77
12-Sep,0.14,0.02,0.44,0.84,0.11,0.70,0.00,1.58,1.34,1.13,0.69
19-Sep,0.23,0.09,0.58,1.16,0.59,0.96,0.00,2.22,1.92,1.51,1.07
26-Sep,0.30,0.16,0.89,1.71,0.71,1.04,0.00,2.38,2.79,1.79,1.03
3-Oct,0.27,0.37,0.93,1.69,0.77,1.05,0.00,2.65,2.57,0.97,3.33
10-Oct,0.25,0.23,0.92,1.58,0.72,1.06,0.00,2.59,2.41,1.98,3.62
17-Oct,0.20,0.37,0.71,1.07,0.65,1.00,0.00,2.27,2.08,1.28,2.07
24-Oct,0.36,0.07,0.85,1.23,0.71,1.08,0.00,2.31,1.78,1.07,3.19
31-Oct,0.30,0.12,0.93,1.16,0.65,0.99,0.00,2.08,1.88,1.36,1.96
7-Nov,0.37,0.17,0.86,1.06,0.66,1.06,0.00,2.04,1.84,1.19,2.06
14-Nov,0.37,0.34,0.71,0.85,0.58,1.06,0.00,1.90,1.57,1.04,2.96
21-Nov,0.35,0.01,0.58,0.91,0.47,1.05,0.00,2.21,1.81,1.05,2.96
28-Nov,0.37,0.02,0.61,1.03,0.47,1.08,0.00,2.31,2.48,1.65,2.38
5-Dec,0.47,0.30,0.63,1.03,0.52,1.05,0.00,2.61,2.85,1.97,3.45
12-Dec,0.69,0.15,0.80,1.03,0.61,1.04,0.00,2.27,2.24,2.03,3.29
19-Dec,0.73,0.83,1.33,1.70,0.84,1.15,0.00,2.43,3.55,3.74,7.43
26-Dec,0.66,1.16,1.47,1.77,0.81,1.24,0.00,2.73,2.66,3.11,8.03
2-Jan,0.65,0.91,1.75,1.67,0.82,1.14,0.00,2.65,2.31,2.50,10.35
9-Jan,0.86,1.12,1.98,1.76,0.78,1.14,0.00,2.67,2.19,2.81,11.36
16-Jan,0.93,1.82,1.54,1.64,0.82,1.16,0.00,2.51,2.36,2.87,14.22
23-Jan,0.77,1.73,1.64,1.52,0.81,1.27,0.00,2.66,2.01,2.98,17.15
30-Jan,0.67,1.17,1.89,1.61,0.79,1.12,0.00,2.75,2.07,2.93,16.56
6-Feb,0.49,0.68,1.77,1.90,0.86,1.10,0.00,2.91,1.95,2.73,12.10
13-Feb,0.82,1.75,1.61,1.62,0.80,1.09,0.00,2.84,2.04,2.78,16.47
20-Feb,0.66,0.91,1.50,1.52,0.90,1.13,0.00,2.77,2.10,2.77,16.04
27-Feb,0.65,0.82,1.35,1.62,0.84,1.13,0.00,2.52,2.40,2.64,13.46
6-Mar,0.63,0.73,1.49,1.63,0.87,1.13,0.00,2.38,2.64,2.69,10.26
13-Mar,0.79,0.98,1.00,1.63,0.88,1.12,0.00,2.81,2.19,2.64,10.60
20-Mar,0.68,0.76,1.29,1.56,0.89,1.14,0.00,2.69,2.22,2.51,16.03
27-Mar,0.62,0.68,1.19,1.50,0.94,1.11,0.00,2.61,2.27,2.57,17.43
3-Apr,0.36,0.30,1.63,1.60,1.17,1.08,0.00,2.25,2.55,2.70,12.18
10-Apr,0.38,0.34,1.35,1.93,1.06,1.01,0.00,2.42,2.58,2.69,8.64
17-Apr,0.57,0.61,1.25,1.66,0.80,1.06,0.00,2.65,2.37,2.71,13.74
24-Apr,0.32,0.30,1.49,1.89,0.83,1.09,0.00,2.73,2.07,2.63,12.24
1-May,0.23,0.25,1.40,1.75,0.82,1.05,0.00,3.10,1.88,2.86,10.88
8-May,0.18,0.11,1.04,1.45,0.78,1.04,0.00,2.66,2.43,1.92,6.97
15-May,0.12,0.05,0.85,1.12,0.49,0.97,0.00,2.63,2.67,1.07,7.15
22-May,0.12,0.02,0.72,0.92,0.44,1.08,0.00,2.24,2.35,0.82,7.39
29-May,0.12,0.01,0.65,0.76,0.31,1.03,0.00,2.24,1.80,0.63,7.04
5-Jun,0.10,0.00,0.53,0.67,0.23,0.88,0.00,2.02,1.66,0.47,7.00
12-Jun,0.06,0.00,0.51,0.55,0.34,0.76,0.00,1.80,1.33,0.49,5.96
19-Jun,0.07,0.00,0.46,0.53,0.24,0.65,0.00,1.69,1.02,0.46,5.36
26-Jun,0.08,0.00,0.46,0.42,0.21,0.61,0.00,1.69,0.93,0.48,1.92
3-Jul,0.11,0.00,0.40,0.30,0.22,0.52,0.00,1.55,0.84,0.72,1.38
10-Jul,0.11,0.01,0.38,0.33,0.18,0.46,0.00,1.51,0.85,1.07,1.21
17-Jul,0.04,0.00,0.35,0.30,0.08,0.41,0.00,1.39,0.80,0.88,0.90
24-Jul,0.08,0.00,0.35,0.28,0.16,0.41,0.00,1.32,0.72,0.81,0.68
31-Jul,0.16,0.00,0.35,0.28,0.16,0.41,0.00,1.32,0.72,0.81,0.68
7-Aug,0.17,0.00,0.38,0.23,0.16,0.42,0.00,1.20,0.61,0.70,0.62
14-Aug,0.11,0.01,0.40,0.34,0.12,0.52,0.00,1.29,0.61,0.77,0.61
21-Aug,0.11,0.00,0.37,0.39,0.14,0.58,0.00,1.18,0.63,0.92,1.01
28-Aug,0.13,0.00,0.34,0.32,0.15,0.42,0.00,1.12,0.60,0.74,0.52
4-Sep,0.10,0.00,0.35,0.26,0.07,0.29,0.16,0.97,0.56,0.63,0.41
11-Sep,0.09,0.00,0.40,0.47,0.12,0.53,0.22,1.09,0.63,0.92,1.42
18-Sep,0.18,0.00,0.40,0.29,0.10,0.44,0.26,0.82,0.48,0.74,1.22
25-Sep,0.17,0.00,0.42,0.58,0.16,0.73,0.38,1.01,0.78,0.75,1.38
2-Oct,0.19,0.03,0.47,0.96,0.34,0.87,0.37,1.37,1.18,0.85,0.92
9-Oct,0.28,0.13,0.63,0.86,0.64,0.93,0.25,1.10,1.73,1.19,1.22
16-Oct,0.40,0.00,0.64,0.60,0.19,0.93,0.27,0.91,0.86,0.79,0.74
23-Oct,0.23,0.00,0.48,0.55,0.16,0.87,0.36,0.90,0.78,0.63,0.76
30-Oct,0.30,0.33,0.62,0.68,0.34,0.83,0.60,1.35,1.22,1.09,1.13
6-Nov,0.30,0.20,0.77,1.26,0.61,1.00,0.54,1.89,1.86,2.00,1.97
13-Nov,0.51,0.63,1.08,2.44,0.86,1.10,0.54,2.85,2.58,2.65,2.54
20-Nov,0.38,0.61,1.08,2.03,0.71,1.13,0.61,2.78,2.52,1.95,2.55
27-Nov,0.53,0.17,0.88,1.26,0.53,1.12,0.28,1.63,1.86,1.75,1.89
4-Dec,0.48,0.25,0.78,1.55,0.70,1.15,0.44,2.30,2.50,2.40,3.91
11-Dec,0.46,0.30,1.04,1.43,0.50,1.14,0.25,2.57,2.52,2.47,3.26
18-Dec,0.48,0.12,0.95,1.36,0.48,1.15,0.36,2.27,2.37,2.41,3.40
25-Dec,0.48,0.54,1.30,1.95,0.91,1.19,0.68,2.11,2.45,2.99,7.82
